"Symbol","Name","IPO date","Industry","Market cap","20 Day Average Volume","Issuer Symbol","Issuer Name","Issuer Type","Action"
"VCVCU","10X Capital Venture Acquisition Corp","11/24/2020","Shell Companies","$0","0","","","","Analyze"
"VIIAU","7GC & Co. Holdings Inc. - Unit","12/23/2020","","$0","2,374","","","","Analyze"
"ACAMU","Acamar Partners Acquisition Corp. - Units","02/22/2019","Shell Companies","$343,464,299","0","ACAM","Acamar Partners Acquisition Corp. - Class A","Common stocks","Analyze"
"ACEVU","ACE Convergence Acquisition Corp. - Unit","07/28/2020","Shell Companies","$263,120,000","0","ACEV","ACE Convergence Acquisition Corp. - Class A","Common stocks","Analyze"
"ACACU","Acies Acquisition Corp. - Unit","10/22/2020","Shell Companies","$226,227,750","0","ACAC","Acies Acquisition Corp. - Class A","Common stocks","Analyze"
"ACKIU","ACKRELL SPAC Partners I Co.","12/21/2020","Shell Companies","$0","231,754","","","","Analyze"
"STWOU","ACON S2 Acquisition Corp. - Unit","09/17/2020","Shell Companies","$257,750,000","0","STWO","ACON S2 Acquisition Corp. - Class A","Common stocks","Analyze"
"IMPX=","AEA-Bridges Impact Corp. Units, each consisting of one Class A ordinary share, and one-half of one redeemable warrant","10/01/2020","Shell Companies","$0","0","IMPX","AEA-Bridges Impact Corp. Class A","Common stocks","Analyze"
"ARBGU","Aequi Acquisition Corp. - Unit","11/20/2020","Shell Companies","$0","0","","","","Analyze"
"AGBAU","AGBA Acquisition Limited - Unit","05/15/2019","Shell Companies","$63,335,000","0","AGBA","AGBA Acquisition Limited","Common stocks","Analyze"
"AJAX=","Ajax I Units, each consisting of one Class A ordinary share and one-fourth of one redeemable warrant","10/23/2020","Shell Companies","$0","0","AJAX","Ajax I Class A","Common stocks","Analyze"
"ALACU","Alberton Acquisition Corporation - Unit","10/24/2018","Shell Companies","$61,072,829","0","ALAC","Alberton Acquisition Corporation","Common stocks","Analyze"
"AHACU","Alpha Healthcare Acquisition Corp. - Unit","09/18/2020","Shell Companies","$105,517,450","0","AHAC","Alpha Healthcare Acquisition Corp.","Common stocks","Analyze"
"ATAC=","Altimar Acquisition Corporation Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant","10/23/2020","Shell Companies","$0","0","ATAC","Altimar Acquisition Corporation Class A","Common stocks","Analyze"
"AGCUU","Altimeter Growth Corp. - Unit","10/01/2020","Shell Companies","$690,750,000","0","","","","Analyze"
